,longName,shortName
c8jak571286lu98uk2345pmfr,Estadio Municipal Alcaldesa Ester Roa Rebolledo,Estadio Municipal Alcaldesa Ester Roa Rebolledo
5rm4rbdvhmluflf5mbqk0ryz5,Estadio Santa Laura-Universidad SEK,Estadio Santa Laura-Universidad SEK
emsrfv9ufm0g1hgs7a6msgpar,Estadio San Carlos de Apoquindo,Estadio San Carlos de Apoquindo
c0v9hraes3113gb4bhmdc8cc7,Estadio Bicentenario La Granja,Estadio Bicentenario La Granja
1wlwlq1c9rptcuwb8dqp1vppe,Estadio Bicentenario Municipal de La Florida,Estadio Bicentenario Municipal de La Florida
47un6skvihzilcred8vzvibbp,Estadio Sausalito,Estadio Sausalito
8nayliomd2w5tfjjb4vlabzla,Estadio Municipal de La Pintana,Estadio Municipal de La Pintana
87zbk2w1ksko6ak4vungb5q6o,Estadio Bicentenario Francisco Sánchez Rumoroso,Estadio Bicentenario Francisco Sánchez Rumoroso
4tw2z4pf03t59w7jqk2h479l9,Estadio Tierra de Campeones,Estadio Tierra de Campeones
8spwr9hcck0aicsxb2f71pqr4,Estadio CAP,Estadio CAP
4aqkwzehjs713dlt83m7nffwz,Estadio El Teniente,Estadio El Teniente
3tq7ow42ae3jqxxidbhl0nmck,Estadio Regional Calvo y Bascuñán,Estadio Regional Calvo y Bascuñán
7ijsj6wfhan1bkyrwqipk7fh,Estadio Nacional Julio Martínez Prádanos,Estadio Nacional Julio Martínez Prádanos
3n97dyxjyuzaqh3nvs1poz8ni,Estadio El Cobre,Estadio El Cobre
1i2uslf0wsygp1h6uteshqcxj,Estadio Municipal Nicolás Chahuán Nazar,Estadio Municipal Nicolás Chahuán Nazar
9hmvfd1wqmdit65c9ntxdhf1f,Estadio Elías Figueroa Brander,Estadio Elías Figueroa Brander
5q79s10letp5fp21vuyq61mjg,Estadio Monumental David Arellano,Estadio Monumental David Arellano
ek5cx3x39m8ul1uxpn5j2q3aq,Estadio La Portada de La Serena,Estadio La Portada de La Serena
500gy1njdz7bqammucb5jnru3,Estadio Municipal de La Cisterna,Estadio Municipal de La Cisterna
